Title,member-company,phone-number,e-mail,address,member-home-type,member-design-style,member-preferred-budget,member-short-detail,member-accreditation,Date,"Post Type",Permalink,"Image URL","Image Title","Image Featured"
"AMPdesign co.","AMPdesign co.","'+65 9693 9096",amanda.pang@amp-d-space.com,"2 Kallang Avenue #08-26 CT Hub, Singapore 339407",HDB,Modern,"Under S$ 30,000","<p><strong>Creating a space that signifies one’s identity, crafted to individual’s character </strong><strong>and preference. AMP Design Co. puts it’s utmost effort to deliver a signature </strong><strong>space that will turn a house, into a home.</strong></p>
<p>AMP Design Co, with more than 15 years of experience in the industry, and has designed numerous residential and commercial projects, with a background in Architecture, we seek to build the perfect balance between aesthetics and functionality.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/ampdesign-co/,https://renoresearch.sg/wp-content/uploads/2024/06/AMPdesign-co.-Logo.jpg,"AMPdesign co. Logo",https://renoresearch.sg/wp-content/uploads/2024/06/AMPdesign-co.-Logo.jpg
"D&amp;I Design Interior","D&amp;I Design Interior","'+65 8388 4363",sale@dni.com.sg,"101 Woodlands Ave 12, #02-18, Singapore 737719",HDB,Modern,"Under S$ 30,000","<p>At D&amp;I, we listen and collaborate with you through every design stage. Our in-house team ensures effective communication, minimizing errors &amp; meeting deadlines.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/di-design-interior/,https://renoresearch.sg/wp-content/uploads/2024/06/DI-Design-Interior-Logo.jpg,"D&I Design Interior Logo",https://renoresearch.sg/wp-content/uploads/2024/06/DI-Design-Interior-Logo.jpg
"De Exclusive Interior Group","De Exclusive Interior Group Pte Ltd","'+65 8691 6131",rs@deexclusive.com,"No.55 Serangoon North Ave 4, #01-12 S9 Building Singapore 555859",HDB,Modern,"Under S$ 30,000","<p>De Exclusive Interior Group was established in 1996. We have withstood the test of time, to be among the top interior-design in Singapore</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/de-exclusive-interior-group/,https://renoresearch.sg/wp-content/uploads/2024/06/De-Exclusive-Interior-Group-Logo-PNG.png|https://renoresearch.sg/wp-content/uploads/2024/06/De-Exclusive-Interior-Group-Logo.jpg,"De Exclusive Interior Group Logo (PNG)|De Exclusive Interior Group Logo",https://renoresearch.sg/wp-content/uploads/2024/06/De-Exclusive-Interior-Group-Logo-PNG.png
"Prologue Studio","Prologue Studio","'+65 9191 3355",jack@prologuestudio.sg,"637 Veerasamy Rd, Singapore 200637",HDB,Modern,"Under S$ 30,000","<p>We are a group of young enthusiast who love designing very much. We love playing around with colours, shapes and lines, and we are also very hands on to make sure our designs are practical enough for your daily applications.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/prologue-studio/,https://renoresearch.sg/wp-content/uploads/2024/06/Prologue-Studio-Logo.jpg,"Prologue Studio Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Prologue-Studio-Logo.jpg
"Des &amp; Co Interior","Des &amp; Co Interior Pte Ltd","'+65 8288 5050",desnco.office@gmail.com,"469 Macpherson Road #01-03 Singapore 368186",HDB,Modern,"Under S$ 30,000","<p>Spotted a design that suits your liking? Don't hesitate and give us a call to fix an appointment with us today! Let us help you.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/des-co-interior/,https://renoresearch.sg/wp-content/uploads/2024/06/Des-Co-Interior-Logo.jpg,"Des & Co Interior Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Des-Co-Interior-Logo.jpg
"Owl Nest Interior","Owl Nest Interior Private Limited","'+65 9093 4286",simontwh1991@gmail.com,"33 Ubi Ave 3, Vertex, Tower B, #05-22 Owl Nest Interior, Singapore 408868",HDB,Modern,"Under S$ 30,000","<p class=""font_7 wixui-rich-text__text"">Founded by 3 university friends over dinner at a kopitiam in 2022, Owl Nest Interior seeks to provide fair value for all looking to renovate their homes/offices. We do so by eliminating the exorbitant rates charged by interior design films through transparent pricing strategy and instilling confidence in our clients with timely updates and quality checks. We firmly believe in treating every project we take on as our own homes which drives our motto:</p>
<p class=""font_7 wixui-rich-text__text""><span class=""wixui-rich-text__text"">Your Nest, Our Nest, Owl Nest</span></p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/owl-nest-interior/,https://renoresearch.sg/wp-content/uploads/2024/06/Owl-Nest-Interior-Logo.jpg,"Owl Nest Interior Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Owl-Nest-Interior-Logo.jpg
"Simplicity Interior","Simplicity Interior LLP","'+65 8861 3393",sales@simplicityinterior.net,"6D Mandai Estate, #10-13 M-Space, Sungei Kadut, Singapore 729938",HDB,Modern,"Under S$ 30,000","<p>Innovative interior design,transforming spaces with creativity and expertise</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/simplicity-interior/,https://renoresearch.sg/wp-content/uploads/2024/06/Simplicity-Interior-LLP-Logo.jpg,"Simplicity Interior LLP Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Simplicity-Interior-LLP-Logo.jpg
"Magnificent Living Concept ","Magnificent Living Concept","'+65 9046 5197",aldricklim@maglivingconcept.com,"2 Yishun Street 1, #05-34, Northpoint Bizhub, Singapore 768159",HDB,Modern,"Under S$ 30,000","<p>A CASETRUST accredited and HDB registered Interior Design Studio. Your dream home begins with Magnificent Living Concept</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/magnificent-living-concept/,https://renoresearch.sg/wp-content/uploads/2024/06/Magnificent-Living-Concept.jpg,"Magnificent Living Concept",https://renoresearch.sg/wp-content/uploads/2024/06/Magnificent-Living-Concept.jpg
"Flair Interiors Creation","Flair Interiors Creation","'+65 9125 9661",flairinteriorscreationllp@yahoo.com,"Blk 38 Telok Blangah Rise #01-323 Singapore 090038",HDB,Modern,"Under S$ 30,000","<p>Flair Interiors Creation is here to provide you a full interior services and delivering the best solutions for all design matters. We are committed to design excellence, responsibility and sustainability ensuring that our clients receive the most effective and professional service.</p>
<p>Hence, we will collaborate and consult with you all the time and offer you the best price to meet your budget. Having over 20 years of experience, we have accumulated a wealth of knowledge and experience to propose the most creative and functional ideas. As experts in this field, we provide a modern yet stylish design that captures your attention and make you feel comfortable at the same time. Our aims is to understand your dreams and fulfil your needs.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/flair-interiors-creation/,https://renoresearch.sg/wp-content/uploads/2024/06/Flair-Interiors-Creation-Logo.jpg,"Flair Interiors Creation Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Flair-Interiors-Creation-Logo.jpg
W.interior,"W.Interior Pte Ltd","'+65 9088 5326",w.interior.online@gmail.com,"Block 532 Ang Mo Kio Ave 10   #01-2483 (Singapore 560532)","HDB (BTO)",Modern,30001-50000,"<div id=""comp-kxyd9hbx"" class=""HcOXKn SxM0TO QxJLC3 comp-kxyd9hbx wixui-rich-text"" data-testid=""richTextElement"">
<p class=""font_7 wixui-rich-text__text""><span class=""color_15 wixui-rich-text__text"">The Design You Always Dreamed Of</span></p>
</div>
<div id=""comp-kxyd9hby"" class=""HcOXKn SxM0TO QxJLC3 comp-kxyd9hby wixui-rich-text"" data-testid=""richTextElement"">
<p class=""font_9 wixui-rich-text__text""><span class=""color_15 wixui-rich-text__text"">In <span class=""wixui-rich-text__text"">W.interior</span> we believe that everyone deserves to be inspired by the spaces they spend time in. Since 2020 we’ve been creating original spaces that are interesting, comfortable and deeply personal. Our expertise lies in our versatility, attention to detail and our limitless resourcefulness. We are here to serve all of our clients and grant their every wish. Make your Interior Design dreams come true today.</span></p>
</div>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/w-interior/,https://renoresearch.sg/wp-content/uploads/2024/06/W.interior-Logo-2.jpg|https://renoresearch.sg/wp-content/uploads/2024/06/W.interior-Logo.jpg,"W.interior Logo 2|W.interior Logo",https://renoresearch.sg/wp-content/uploads/2024/06/W.interior-Logo-2.jpg
"Decor 8 Interior Design","Decor 8 Interior Design","'+65 8397 1694",enquiries@decor-eight.com,"65 Ubi Road 1 #01-88 Singapore 408729",Condo,Asian,30001-50000,"<p>Welcome to Decor 8, where creativity meets functionality, and spaces transform into stunning reflections of your unique style. Here, we believe that your surroundings should inspire, comfort, and elevate your daily experiences.</p>
<p><em>From the spark of an idea to the completion of a dream,</em><br />
<em>Decor 8 strives to turn your space into a masterpiece that tells your story.</em></p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-24,member-list,https://renoresearch.sg/member-list/decor-8-interior-design/,https://renoresearch.sg/wp-content/uploads/2024/06/Decor-8-Interior-Design-Logo.jpg,"Decor 8 Interior Design Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Decor-8-Interior-Design-Logo.jpg
"FHAG studio Pte. Ltd.","FHAG Studio Pte Ltd","'+65 8768 9887",tjhoon@fhag.studio,"59 Ubi Avenue 1 #03-11 Singapore, 408938",Condo,Asian,"S$ 30,000 to S$ 40,000","<p>Welcome to FHAG Studio Pte Ltd</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-24,member-list,https://renoresearch.sg/member-list/fhag-studio-pte-ltd/,https://renoresearch.sg/wp-content/uploads/2024/06/FHAG-Studio-Logo-PNG.png|https://renoresearch.sg/wp-content/uploads/2024/06/FHAG-studio-Pte.-Ltd.-Logo.jpg,"FHAG Studio Logo (PNG)|FHAG studio Pte. Ltd. Logo",https://renoresearch.sg/wp-content/uploads/2024/06/FHAG-Studio-Logo-PNG.png
"Cedron Interior Concept","Cedron Interior Concept Pte Ltd","'+65 9016 3345",enquiry@cedroninterior.sg,"81 Ubi Ave 4 #02-16 Singapore 408830",Condo,Asian,30001-50000,"<p>Cedron Interior Concept is made up of a talented group of professionals who are fully committed to providing each client with the space they truly need. Whether it's designing a new home or a office space, we listen to each client in order to fully understand what they need, whether it is comfort, functionality, or a combination of both.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-24,member-list,https://renoresearch.sg/member-list/cedron-interior-concept/,https://renoresearch.sg/wp-content/uploads/2024/06/Cedron-Interior-Concept-Logo.png,"Cedron Interior Concept Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Cedron-Interior-Concept-Logo.png
"Nine Zone Interior","Nine Zone Interior","'+65 9831 3199",9zone.interior@gmail.com,"439A Sengkang West Avenue, Fernvale Court, Singapore 791439",Condo,Asian,"S$ 30,000 to S$ 40,000","<p>Our residential interior design services cover every part of your home, ensuring each space reflects your unique style and needs. From concept to final touches, we work closely with you to create functional and beautiful living spaces. Whether it’s a HDB residence, condominium or landed property, we combine our expertise with your vision to craft livable spaces that inspire comfort and exquisite design.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-24,member-list,https://renoresearch.sg/member-list/nine-zone-interior/,https://renoresearch.sg/wp-content/uploads/2024/06/Nine-Zone-Interior-Logo.jpg,"Nine Zone Interior Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Nine-Zone-Interior-Logo.jpg
"Katerior Design","Katerior Design Pte Ltd","'+65 6345 9468",kaginlloh@katerior.com,"65 Ubi Road 1, #01-85 Oxley BizHub Singapore 408729",Condo,Asian,"S$ 30,000 to S$ 40,000","<p>At Katerior Interior, we take pride in bringing your vision to life. Whether you’re looking to renovate a single room or overhaul your entire space, we’ve got the expertise and creativity to make it happen. From modern minimalism to cozy chic, we’ll work with you to create a personalized design plan that perfectly captures your style.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:4:""true"";}",2024-06-24,member-list,https://renoresearch.sg/member-list/katerior-design/,https://renoresearch.sg/wp-content/uploads/2024/06/Katerior-Interior-Logo-PNG.png|https://renoresearch.sg/wp-content/uploads/2024/06/Katerior-Interior-Logo.png,"Katerior Interior Logo (PNG)|Katerior Interior Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Katerior-Interior-Logo-PNG.png
